Genus	Species	Accession	GenomeSize_Mb	Study	Method
Spirodela	Spirodela intermedia	7125	162	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	7178	162	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	7355	161	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	7450	162	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	7747	157	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	7797	161	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	7820	160	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	8410	160	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	9167	159	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	9203	154	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	9227	159	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	9394	158	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	9428	160	Bog et al., 2015	FC
Spirodela	Spirodela intermedia	9463	159	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	0003	160	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	6581	155	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	6613	156	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	7498	157	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	7674	157	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9256	160	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9295	157	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9316	159	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9500	163	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9501	164	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9502	164	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9503	170	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9505	164	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9506	165	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9507	158	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9508	160	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9509	157	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9511	161	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9512	156	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9513	161	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9514	159	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9560	160	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9618	160	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9622	159	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9623	158	Bog et al., 2015	FC
Spirodela	Spirodela polyrhiza	9624	162	Bog et al., 2015	FC
