Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0000000	wa7733.asm1v1.ann1.run1_002543_1	Wa8730a015g000580_P001
OG0000000	wa7733.asm1v1.ann1.run1_001151_1	Wa8730a005g004760_P001
OG0000000	wa7733.asm1v1.ann1.run1_011440_1	Wa8730a010g005410_P001
OG0000000	wa7733.asm1v1.ann1.run1_007966_1	Wa8730a004g003940_P001
OG0000000	wa7733.asm1v1.ann1.run1_002089_1	Wa8730a018g001770_P001
OG0000000	wa7733.asm1v1.ann1.run1_006888_1	Wa8730a019g001810_P001
OG0000000	wa7733.asm1v1.ann1.run1_006884_1	Wa8730a019g001830_P001
OG0000000	wa7733.asm1v1.ann1.run1_000646_1	Wa8730a007g006910_P001
OG0000000	wa7733.asm1v1.ann1.run1_012422_1	Wa8730a007g005240_P001
OG0000000	wa7733.asm1v1.ann1.run1_003570_1	Wa8730a006g004300_P001
OG0000000	wa7733.asm1v1.ann1.run1_008639_1	Wa8730a007g003250_P001, Wa8730a020g001370_P001
OG0000001	wa7733.asm1v1.ann1.run1_001057_1	Wa8730a002g005920_P001
OG0000001	wa7733.asm1v1.ann1.run1_010455_1	Wa8730a017g003690_P001
OG0000001	wa7733.asm1v1.ann1.run1_004620_1	Wa8730a003g006640_P001
OG0000001	wa7733.asm1v1.ann1.run1_015082_1	Wa8730a009g001180_P001
OG0000001	wa7733.asm1v1.ann1.run1_014654_1	Wa8730a009g001120_P001, Wa8730a009g001110_P001, Wa8730a009g001130_P001, Wa8730a009g001170_P001
OG0000001	wa7733.asm1v1.ann1.run1_014477_1, wa7733.asm1v1.ann1.run1_014653_1	Wa8730a009g001140_P001
OG0000001	wa7733.asm1v1.ann1.run1_014396_1, wa7733.asm1v1.ann1.run1_013688_1, wa7733.asm1v1.ann1.run1_008511_1	Wa8730a009g003870_P001
OG0000001	wa7733.asm1v1.ann1.run1_010314_1	Wa8730a013g005840_P001
OG0000001	wa7733.asm1v1.ann1.run1_014478_1	Wa8730a009g001160_P001
OG0000001	wa7733.asm1v1.ann1.run1_013684_1, wa7733.asm1v1.ann1.run1_008373_1	Wa8730a003g000180_P001
OG0000001	wa7733.asm1v1.ann1.run1_014479_1	Wa8730a009g001150_P001, Wa8730a009g001090_P001
OG0000001	wa7733.asm1v1.ann1.run1_006296_1	Wa8730a009g000460_P001
OG0000002	wa7733.asm1v1.ann1.run1_000848_1	Wa8730a016g004780_P001
OG0000002	wa7733.asm1v1.ann1.run1_000847_1	Wa8730a016g004770_P001
OG0000002	wa7733.asm1v1.ann1.run1_002171_1	Wa8730a001g000880_P001
OG0000002	wa7733.asm1v1.ann1.run1_013555_1	Wa8730a007g004070_P001
OG0000002	wa7733.asm1v1.ann1.run1_007551_1, wa7733.asm1v1.ann1.run1_007552_1, wa7733.asm1v1.ann1.run1_007554_1	Wa8730a016g003300_P001, Wa8730a016g003270_P001, Wa8730a016g003260_P001
OG0000002	wa7733.asm1v1.ann1.run1_007553_1, wa7733.asm1v1.ann1.run1_007555_1, wa7733.asm1v1.ann1.run1_007550_1	Wa8730a016g003310_P001, Wa8730a016g003280_P001, Wa8730a016g003250_P001
OG0000002	wa7733.asm1v1.ann1.run1_001505_1, wa7733.asm1v1.ann1.run1_001505_2	Wa8730a002g003060_P001
OG0000002	wa7733.asm1v1.ann1.run1_007283_1	Wa8730a005g005290_P001, Wa8730a010g002100_P001
OG0000002	wa7733.asm1v1.ann1.run1_000176_1	Wa8730a012g003490_P001
OG0000002	wa7733.asm1v1.ann1.run1_000178_1	Wa8730a012g003470_P001
OG0000002	wa7733.asm1v1.ann1.run1_000180_1	Wa8730a012g003440_P001
OG0000002	wa7733.asm1v1.ann1.run1_007618_1	Wa8730a003g007330_P001
OG0000002	wa7733.asm1v1.ann1.run1_000851_1	Wa8730a016g004810_P001
OG0000002	wa7733.asm1v1.ann1.run1_007624_1	Wa8730a003g007260_P001
OG0000003	wa7733.asm1v1.ann1.run1_002689_1	Wa8730a005g002910_P001
OG0000003	wa7733.asm1v1.ann1.run1_003247_1	Wa8730a015g003250_P001
OG0000003	wa7733.asm1v1.ann1.run1_003248_1, wa7733.asm1v1.ann1.run1_003180_1	Wa8730a015g003240_P001
OG0000003	wa7733.asm1v1.ann1.run1_011127_1	Wa8730a010g000110_P001
OG0000003	wa7733.asm1v1.ann1.run1_011128_1	Wa8730a010g000100_P001
OG0000003	wa7733.asm1v1.ann1.run1_003176_1	Wa8730a004g008520_P001
OG0000003	wa7733.asm1v1.ann1.run1_002797_1	Wa8730a005g000790_P001
OG0000003	wa7733.asm1v1.ann1.run1_007861_1	Wa8730a001g007900_P002, Wa8730a001g007900_P001
OG0000003	wa7733.asm1v1.ann1.run1_011775_1	Wa8730a002g000640_P001
OG0000003	wa7733.asm1v1.ann1.run1_011777_1	Wa8730a002g000620_P001
OG0000003	wa7733.asm1v1.ann1.run1_007752_1	Wa8730a020g000100_P001, Wa8730a020g000110_P001
OG0000004	wa7733.asm1v1.ann1.run1_003949_1	Wa8730a016g000380_P001
OG0000004	wa7733.asm1v1.ann1.run1_008349_1, wa7733.asm1v1.ann1.run1_009010_1	Wa8730a006g004710_P001
OG0000004	wa7733.asm1v1.ann1.run1_000935_1	Wa8730a014g001670_P001
OG0000004	wa7733.asm1v1.ann1.run1_015076_1	Wa8730a014g001630_P001
OG0000004	wa7733.asm1v1.ann1.run1_015071_1, wa7733.asm1v1.ann1.run1_015018_1, wa7733.asm1v1.ann1.run1_000936_1	Wa8730a014g001620_P001
OG0000004	wa7733.asm1v1.ann1.run1_008251_1	Wa8730a009g003160_P001
OG0000004	wa7733.asm1v1.ann1.run1_008253_1	Wa8730a009g003150_P001
OG0000004	wa7733.asm1v1.ann1.run1_008250_1	Wa8730a009g003140_P001
OG0000004	wa7733.asm1v1.ann1.run1_008258_1	Wa8730a009g003220_P001
OG0000004	wa7733.asm1v1.ann1.run1_000884_1	Wa8730a014g002180_P001
OG0000004	wa7733.asm1v1.ann1.run1_000885_1	Wa8730a014g002170_P001
OG0000004	wa7733.asm1v1.ann1.run1_000039_1	Wa8730a012g005020_P001
OG0000004	wa7733.asm1v1.ann1.run1_000886_1, wa7733.asm1v1.ann1.run1_000887_1	Wa8730a014g002160_P001
OG0000004	wa7733.asm1v1.ann1.run1_014942_1	Wa8730a011g004170_P001, Wa8730a011g004180_P001
OG0000005	wa7733.asm1v1.ann1.run1_007385_1	Wa8730a003g001160_P001
OG0000005	wa7733.asm1v1.ann1.run1_002984_1	Wa8730a001g006440_P001
OG0000005	wa7733.asm1v1.ann1.run1_013638_1, wa7733.asm1v1.ann1.run1_002993_1, wa7733.asm1v1.ann1.run1_015020_1, wa7733.asm1v1.ann1.run1_015021_1	Wa8730a001g010590_P001
OG0000005	wa7733.asm1v1.ann1.run1_011806_1	Wa8730a002g010020_P001
OG0000005	wa7733.asm1v1.ann1.run1_008779_1, wa7733.asm1v1.ann1.run1_010699_1	Wa8730a001g011430_P001
OG0000005	wa7733.asm1v1.ann1.run1_008859_1	Wa8730a003g000890_P001
OG0000005	wa7733.asm1v1.ann1.run1_015080_1	Wa8730a003g001150_P001
OG0000005	wa7733.asm1v1.ann1.run1_014791_1, wa7733.asm1v1.ann1.run1_015208_1, wa7733.asm1v1.ann1.run1_015044_1, wa7733.asm1v1.ann1.run1_014792_1, wa7733.asm1v1.ann1.run1_014793_1, wa7733.asm1v1.ann1.run1_015045_1, wa7733.asm1v1.ann1.run1_015031_1, wa7733.asm1v1.ann1.run1_007344_1	Wa8730a00Ug000080_P001
OG0000005	wa7733.asm1v1.ann1.run1_006270_1	Wa8730a005g005430_P001
OG0000006	wa7733.asm1v1.ann1.run1_001854_1	Wa8730a014g006020_P001
OG0000006	wa7733.asm1v1.ann1.run1_007734_1	Wa8730a020g000300_P001
OG0000006	wa7733.asm1v1.ann1.run1_006908_1	Wa8730a002g000770_P001
OG0000006	wa7733.asm1v1.ann1.run1_001644_1	Wa8730a001g004420_P001
OG0000006	wa7733.asm1v1.ann1.run1_007332_1	Wa8730a010g001680_P001
OG0000006	wa7733.asm1v1.ann1.run1_004542_1	Wa8730a003g004290_P001
OG0000006	wa7733.asm1v1.ann1.run1_002931_1	Wa8730a001g007000_P001
OG0000007	wa7733.asm1v1.ann1.run1_004720_1	Wa8730a003g002300_P001
OG0000007	wa7733.asm1v1.ann1.run1_002276_1	Wa8730a002g004580_P001
