	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0000000	g10996.t1, g11268.t1, g11269.t1, g11454.t1, g12239.t1, g13299.t1, g14003.t1, g14265.t1, g14266.t1, g1527.t1, g17359.t1, g17884.t1, g2645.t1, g3797.t1, g3800.t1, g5132.t1, g7906.t1, g7908.t1	Sp01g01214, Sp01g01216, Sp02g00073, Sp02g00616, Sp04g00326, Sp04g00538, Sp04g00805, Sp06g00278, Sp06g00281, Sp07g00535, Sp08g00563, Sp10g00261, Sp12g00604, Sp12g00877, Sp13g00755, Sp14g00310, Sp16g00183, Sp16g00517, Sp18g00751	wa7733.asm1v1.ann1.run1_000646_1, wa7733.asm1v1.ann1.run1_001151_1, wa7733.asm1v1.ann1.run1_001735_1, wa7733.asm1v1.ann1.run1_002089_1, wa7733.asm1v1.ann1.run1_002543_1, wa7733.asm1v1.ann1.run1_003570_1, wa7733.asm1v1.ann1.run1_006365_1, wa7733.asm1v1.ann1.run1_006883_1, wa7733.asm1v1.ann1.run1_006884_1, wa7733.asm1v1.ann1.run1_006888_1, wa7733.asm1v1.ann1.run1_007966_1, wa7733.asm1v1.ann1.run1_008639_1, wa7733.asm1v1.ann1.run1_011440_1, wa7733.asm1v1.ann1.run1_012422_1	Wa8730a004g003940_P001, Wa8730a005g004760_P001, Wa8730a006g004300_P001, Wa8730a007g003250_P001, Wa8730a007g005240_P001, Wa8730a007g006910_P001, Wa8730a010g005410_P001, Wa8730a012g001710_P001, Wa8730a015g000580_P001, Wa8730a018g001770_P001, Wa8730a019g001810_P001, Wa8730a019g001830_P001, Wa8730a020g001370_P001
OG0000001	g10106.t1, g14010.t1, g16325.t1, g17885.t1, g1852.t1, g3178.t1, g3684.t1, g3690.t1, g3810.t1, g5835.t1, g6376.t1, g8247.t1	Sp01g01671, Sp02g00617, Sp06g00750	wa7733.asm1v1.ann1.run1_001057_1, wa7733.asm1v1.ann1.run1_004620_1, wa7733.asm1v1.ann1.run1_006296_1, wa7733.asm1v1.ann1.run1_006372_1, wa7733.asm1v1.ann1.run1_008373_1, wa7733.asm1v1.ann1.run1_008511_1, wa7733.asm1v1.ann1.run1_010314_1, wa7733.asm1v1.ann1.run1_010455_1, wa7733.asm1v1.ann1.run1_013684_1, wa7733.asm1v1.ann1.run1_013688_1, wa7733.asm1v1.ann1.run1_014396_1, wa7733.asm1v1.ann1.run1_014477_1, wa7733.asm1v1.ann1.run1_014478_1, wa7733.asm1v1.ann1.run1_014479_1, wa7733.asm1v1.ann1.run1_014653_1, wa7733.asm1v1.ann1.run1_014654_1, wa7733.asm1v1.ann1.run1_015082_1	Wa8730a002g005920_P001, Wa8730a003g000180_P001, Wa8730a003g006640_P001, Wa8730a009g000460_P001, Wa8730a009g001090_P001, Wa8730a009g001100_P001, Wa8730a009g001110_P001, Wa8730a009g001120_P001, Wa8730a009g001130_P001, Wa8730a009g001140_P001, Wa8730a009g001150_P001, Wa8730a009g001160_P001, Wa8730a009g001170_P001, Wa8730a009g001180_P001, Wa8730a009g001270_P001, Wa8730a009g001300_P001, Wa8730a009g001310_P001, Wa8730a009g001320_P001, Wa8730a009g001330_P001, Wa8730a009g001340_P001, Wa8730a009g001390_P001, Wa8730a009g001590_P001, Wa8730a009g003870_P001, Wa8730a013g005840_P001, Wa8730a017g003690_P001
OG0000002	g15117.t1, g15120.t1, g15121.t1	Sp13g00103, Sp18g00023, Sp18g00024, Sp18g00026	wa7733.asm1v1.ann1.run1_000176_1, wa7733.asm1v1.ann1.run1_000178_1, wa7733.asm1v1.ann1.run1_000180_1, wa7733.asm1v1.ann1.run1_000847_1, wa7733.asm1v1.ann1.run1_000848_1, wa7733.asm1v1.ann1.run1_000851_1, wa7733.asm1v1.ann1.run1_001505_1, wa7733.asm1v1.ann1.run1_001505_2, wa7733.asm1v1.ann1.run1_002171_1, wa7733.asm1v1.ann1.run1_007283_1, wa7733.asm1v1.ann1.run1_007550_1, wa7733.asm1v1.ann1.run1_007551_1, wa7733.asm1v1.ann1.run1_007552_1, wa7733.asm1v1.ann1.run1_007553_1, wa7733.asm1v1.ann1.run1_007554_1, wa7733.asm1v1.ann1.run1_007555_1, wa7733.asm1v1.ann1.run1_007618_1, wa7733.asm1v1.ann1.run1_007624_1, wa7733.asm1v1.ann1.run1_013555_1	Wa8730a001g000880_P001, Wa8730a002g003060_P001, Wa8730a003g007260_P001, Wa8730a003g007330_P001, Wa8730a005g005290_P001, Wa8730a007g004070_P001, Wa8730a010g002100_P001, Wa8730a012g003440_P001, Wa8730a012g003470_P001, Wa8730a012g003490_P001, Wa8730a016g003250_P001, Wa8730a016g003260_P001, Wa8730a016g003270_P001, Wa8730a016g003280_P001, Wa8730a016g003300_P001, Wa8730a016g003310_P001, Wa8730a016g004770_P001, Wa8730a016g004780_P001, Wa8730a016g004810_P001
OG0000003		Sp01g00576, Sp01g00578, Sp05g00018, Sp08g00885, Sp08g01186, Sp10g00453, Sp10g00454, Sp10g00455, Sp12g00494, Sp12g00495, Sp12g00504, Sp12g00508, Sp12g00514, Sp12g00517, Sp12g00519, Sp12g00521, Sp19g00057	wa7733.asm1v1.ann1.run1_002689_1, wa7733.asm1v1.ann1.run1_002797_1, wa7733.asm1v1.ann1.run1_003176_1, wa7733.asm1v1.ann1.run1_003180_1, wa7733.asm1v1.ann1.run1_003247_1, wa7733.asm1v1.ann1.run1_003248_1, wa7733.asm1v1.ann1.run1_007752_1, wa7733.asm1v1.ann1.run1_007861_1, wa7733.asm1v1.ann1.run1_011127_1, wa7733.asm1v1.ann1.run1_011128_1, wa7733.asm1v1.ann1.run1_011775_1, wa7733.asm1v1.ann1.run1_011777_1	Wa8730a001g007900_P001, Wa8730a001g007900_P002, Wa8730a002g000620_P001, Wa8730a002g000640_P001, Wa8730a004g008520_P001, Wa8730a004g008550_P001, Wa8730a005g000790_P001, Wa8730a005g002910_P001, Wa8730a010g000100_P001, Wa8730a010g000110_P001, Wa8730a015g003240_P001, Wa8730a015g003250_P001, Wa8730a020g000100_P001, Wa8730a020g000110_P001
OG0000004	g1165.t1, g14487.t1	Sp03g01011, Sp04g01232, Sp09g00743	wa7733.asm1v1.ann1.run1_000038_1, wa7733.asm1v1.ann1.run1_000039_1, wa7733.asm1v1.ann1.run1_000884_1, wa7733.asm1v1.ann1.run1_000885_1, wa7733.asm1v1.ann1.run1_000886_1, wa7733.asm1v1.ann1.run1_000887_1, wa7733.asm1v1.ann1.run1_000935_1, wa7733.asm1v1.ann1.run1_000936_1, wa7733.asm1v1.ann1.run1_003949_1, wa7733.asm1v1.ann1.run1_004100_1, wa7733.asm1v1.ann1.run1_004101_1, wa7733.asm1v1.ann1.run1_008250_1, wa7733.asm1v1.ann1.run1_008251_1, wa7733.asm1v1.ann1.run1_008253_1, wa7733.asm1v1.ann1.run1_008258_1, wa7733.asm1v1.ann1.run1_008349_1, wa7733.asm1v1.ann1.run1_009010_1, wa7733.asm1v1.ann1.run1_014942_1, wa7733.asm1v1.ann1.run1_015018_1, wa7733.asm1v1.ann1.run1_015071_1, wa7733.asm1v1.ann1.run1_015076_1	Wa8730a006g004710_P001, Wa8730a009g003140_P001, Wa8730a009g003150_P001, Wa8730a009g003160_P001, Wa8730a009g003220_P001, Wa8730a011g004170_P001, Wa8730a011g004180_P001, Wa8730a012g005020_P001, Wa8730a014g001620_P001, Wa8730a014g001630_P001, Wa8730a014g001670_P001, Wa8730a014g002160_P001, Wa8730a014g002170_P001, Wa8730a014g002180_P001, Wa8730a016g000380_P001
OG0000005	g1585.t1, g4997.t1	Sp03g00226, Sp03g00227, Sp03g00229, Sp03g00232, Sp07g00302, Sp10g00114, Sp10g00115	wa7733.asm1v1.ann1.run1_002984_1, wa7733.asm1v1.ann1.run1_002993_1, wa7733.asm1v1.ann1.run1_006270_1, wa7733.asm1v1.ann1.run1_007344_1, wa7733.asm1v1.ann1.run1_007385_1, wa7733.asm1v1.ann1.run1_008779_1, wa7733.asm1v1.ann1.run1_008859_1, wa7733.asm1v1.ann1.run1_010699_1, wa7733.asm1v1.ann1.run1_011806_1, wa7733.asm1v1.ann1.run1_013638_1, wa7733.asm1v1.ann1.run1_014791_1, wa7733.asm1v1.ann1.run1_014792_1, wa7733.asm1v1.ann1.run1_014793_1, wa7733.asm1v1.ann1.run1_015020_1, wa7733.asm1v1.ann1.run1_015021_1, wa7733.asm1v1.ann1.run1_015031_1, wa7733.asm1v1.ann1.run1_015044_1, wa7733.asm1v1.ann1.run1_015045_1, wa7733.asm1v1.ann1.run1_015080_1, wa7733.asm1v1.ann1.run1_015081_1, wa7733.asm1v1.ann1.run1_015208_1	Wa8730a001g006440_P001, Wa8730a001g010590_P001, Wa8730a001g011430_P001, Wa8730a002g010020_P001, Wa8730a003g000890_P001, Wa8730a003g001150_P001, Wa8730a003g001160_P001, Wa8730a005g005430_P001, Wa8730a00Ug000080_P001
OG0000006	g10145.t1, g16640.t1, g17897.t1, g18612.t1, g3384.t1, g4654.t1, g4676.t1, g5199.t1, g54.t1, g6841.t1, g8606.t1, g9498.t1, g9584.t1	Sp01g00256, Sp01g00289, Sp01g01480, Sp03g00698, Sp05g00276, Sp06g01181, Sp09g00240, Sp09g00949, Sp10g00337	wa7733.asm1v1.ann1.run1_000943_1, wa7733.asm1v1.ann1.run1_001067_1, wa7733.asm1v1.ann1.run1_001644_1, wa7733.asm1v1.ann1.run1_001854_1, wa7733.asm1v1.ann1.run1_002931_1, wa7733.asm1v1.ann1.run1_004542_1, wa7733.asm1v1.ann1.run1_006908_1, wa7733.asm1v1.ann1.run1_007332_1, wa7733.asm1v1.ann1.run1_007734_1	Wa8730a001g004420_P001, Wa8730a001g007000_P001, Wa8730a002g000770_P001, Wa8730a003g004290_P001, Wa8730a010g001680_P001, Wa8730a014g006020_P001, Wa8730a020g000300_P001
OG0000007	g15047.t1, g16920.t1, g18964.t1, g18966.t1, g18970.t1, g18973.t1, g18976.t1, g18988.t1, g6124.t1, g9678.t1	Sp02g00793, Sp03g00438, Sp03g01028, Sp05g01002, Sp09g00440, Sp15g00247, Sp18g00036, Sp18g00099, Sp20g00319	wa7733.asm1v1.ann1.run1_000794_1, wa7733.asm1v1.ann1.run1_000795_1, wa7733.asm1v1.ann1.run1_000839_1, wa7733.asm1v1.ann1.run1_002276_1, wa7733.asm1v1.ann1.run1_002277_1, wa7733.asm1v1.ann1.run1_004720_1, wa7733.asm1v1.ann1.run1_008065_1, wa7733.asm1v1.ann1.run1_008206_1, wa7733.asm1v1.ann1.run1_010955_1, wa7733.asm1v1.ann1.run1_014021_1	Wa8730a001g008820_P001, Wa8730a001g009030_P001, Wa8730a002g004580_P001, Wa8730a003g002300_P001, Wa8730a004g007210_P001, Wa8730a014g004920_P001, Wa8730a016g004250_P001, Wa8730a016g004710_P001
OG0000008	g10188.t1, g111.t1, g14571.t1, g7607.t1, g8238.t1, g9023.t1	Sp01g00715, Sp06g00597, Sp09g00901, Sp11g00661, Sp13g00882, Sp17g00232, Sp18g00577	wa7733.asm1v1.ann1.run1_000318_1, wa7733.asm1v1.ann1.run1_001038_1, wa7733.asm1v1.ann1.run1_002622_1, wa7733.asm1v1.ann1.run1_003326_1, wa7733.asm1v1.ann1.run1_003674_1, wa7733.asm1v1.ann1.run1_004297_1, wa7733.asm1v1.ann1.run1_005097_1, wa7733.asm1v1.ann1.run1_007660_1, wa7733.asm1v1.ann1.run1_008139_1, wa7733.asm1v1.ann1.run1_008844_1, wa7733.asm1v1.ann1.run1_009382_1, wa7733.asm1v1.ann1.run1_011231_1, wa7733.asm1v1.ann1.run1_011955_1, wa7733.asm1v1.ann1.run1_013174_1, wa7733.asm1v1.ann1.run1_014048_1, wa7733.asm1v1.ann1.run1_014073_1	Wa8730a001g008730_P001, Wa8730a002g010410_P001, Wa8730a008g004930_P001, Wa8730a011g001960_P001, Wa8730a016g001020_P001, Wa8730a019g003480_P001
OG0000009	g17254.t1, g829.t1	Sp03g00047, Sp03g00048, Sp03g00070, Sp03g00071, Sp09g01156, Sp09g01178	wa7733.asm1v1.ann1.run1_001994_1, wa7733.asm1v1.ann1.run1_002128_1, wa7733.asm1v1.ann1.run1_002427_1, wa7733.asm1v1.ann1.run1_002883_1, wa7733.asm1v1.ann1.run1_002904_1, wa7733.asm1v1.ann1.run1_003064_1, wa7733.asm1v1.ann1.run1_004113_1, wa7733.asm1v1.ann1.run1_004688_1, wa7733.asm1v1.ann1.run1_005484_1, wa7733.asm1v1.ann1.run1_007797_1, wa7733.asm1v1.ann1.run1_008208_1, wa7733.asm1v1.ann1.run1_008609_1, wa7733.asm1v1.ann1.run1_010794_1, wa7733.asm1v1.ann1.run1_010965_1, wa7733.asm1v1.ann1.run1_010974_1, wa7733.asm1v1.ann1.run1_011090_1, wa7733.asm1v1.ann1.run1_011156_1, wa7733.asm1v1.ann1.run1_013328_1, wa7733.asm1v1.ann1.run1_013619_1, wa7733.asm1v1.ann1.run1_013703_1, wa7733.asm1v1.ann1.run1_014234_1, wa7733.asm1v1.ann1.run1_014769_1, wa7733.asm1v1.ann1.run1_014966_1	Wa8730a014g000140_P001
