Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	Sp9509_oxford_v3.proteins
OG0000000	wa7733.asm1v1.ann1.run1_002543_1	Sp12g00877
OG0000000	wa7733.asm1v1.ann1.run1_001151_1	Sp08g00563
OG0000000	wa7733.asm1v1.ann1.run1_011440_1	Sp12g00604
OG0000000	wa7733.asm1v1.ann1.run1_007966_1	Sp16g00517, Sp13g00755, Sp02g00073
OG0000000	wa7733.asm1v1.ann1.run1_002089_1	Sp01g01214
OG0000000	wa7733.asm1v1.ann1.run1_006888_1	Sp06g00281
OG0000000	wa7733.asm1v1.ann1.run1_006883_1	Sp06g00278
OG0000000	wa7733.asm1v1.ann1.run1_000646_1	Sp04g00326
OG0000000	wa7733.asm1v1.ann1.run1_012422_1	Sp04g00538
OG0000000	wa7733.asm1v1.ann1.run1_003570_1	Sp16g00183
OG0000000	wa7733.asm1v1.ann1.run1_008639_1	Sp10g00261, Sp04g00805
OG0000001	wa7733.asm1v1.ann1.run1_006372_1	Sp02g00617
OG0000001	wa7733.asm1v1.ann1.run1_010455_1, wa7733.asm1v1.ann1.run1_004620_1, wa7733.asm1v1.ann1.run1_015082_1, wa7733.asm1v1.ann1.run1_014654_1, wa7733.asm1v1.ann1.run1_014477_1, wa7733.asm1v1.ann1.run1_014653_1, wa7733.asm1v1.ann1.run1_014396_1, wa7733.asm1v1.ann1.run1_013688_1, wa7733.asm1v1.ann1.run1_008511_1, wa7733.asm1v1.ann1.run1_010314_1, wa7733.asm1v1.ann1.run1_014478_1, wa7733.asm1v1.ann1.run1_013684_1, wa7733.asm1v1.ann1.run1_008373_1, wa7733.asm1v1.ann1.run1_014479_1, wa7733.asm1v1.ann1.run1_006296_1	Sp01g01671
OG0000002	wa7733.asm1v1.ann1.run1_000848_1	Sp18g00026, Sp18g00023
OG0000002	wa7733.asm1v1.ann1.run1_000847_1, wa7733.asm1v1.ann1.run1_002171_1, wa7733.asm1v1.ann1.run1_013555_1, wa7733.asm1v1.ann1.run1_007551_1, wa7733.asm1v1.ann1.run1_007552_1, wa7733.asm1v1.ann1.run1_007554_1, wa7733.asm1v1.ann1.run1_007553_1, wa7733.asm1v1.ann1.run1_007555_1, wa7733.asm1v1.ann1.run1_007550_1, wa7733.asm1v1.ann1.run1_001505_1, wa7733.asm1v1.ann1.run1_001505_2, wa7733.asm1v1.ann1.run1_007283_1, wa7733.asm1v1.ann1.run1_000176_1, wa7733.asm1v1.ann1.run1_000178_1, wa7733.asm1v1.ann1.run1_000180_1, wa7733.asm1v1.ann1.run1_007618_1, wa7733.asm1v1.ann1.run1_000851_1, wa7733.asm1v1.ann1.run1_007624_1	Sp18g00024, Sp13g00103
OG0000003	wa7733.asm1v1.ann1.run1_002689_1	Sp08g00885
OG0000003	wa7733.asm1v1.ann1.run1_003248_1	Sp12g00504, Sp12g00495
OG0000003	wa7733.asm1v1.ann1.run1_003180_1	Sp12g00517, Sp12g00514, Sp12g00521, Sp12g00519
OG0000003	wa7733.asm1v1.ann1.run1_011127_1, wa7733.asm1v1.ann1.run1_011128_1	Sp05g00018
OG0000003	wa7733.asm1v1.ann1.run1_003176_1	Sp19g00057
OG0000003	wa7733.asm1v1.ann1.run1_002797_1	Sp08g01186
OG0000003	wa7733.asm1v1.ann1.run1_007861_1, wa7733.asm1v1.ann1.run1_011775_1, wa7733.asm1v1.ann1.run1_011777_1, wa7733.asm1v1.ann1.run1_007752_1	Sp10g00455, Sp10g00454, Sp10g00453
OG0000004	wa7733.asm1v1.ann1.run1_000038_1, wa7733.asm1v1.ann1.run1_003949_1, wa7733.asm1v1.ann1.run1_008349_1, wa7733.asm1v1.ann1.run1_009010_1, wa7733.asm1v1.ann1.run1_000935_1, wa7733.asm1v1.ann1.run1_004100_1, wa7733.asm1v1.ann1.run1_004101_1, wa7733.asm1v1.ann1.run1_015076_1, wa7733.asm1v1.ann1.run1_015071_1, wa7733.asm1v1.ann1.run1_015018_1, wa7733.asm1v1.ann1.run1_000936_1, wa7733.asm1v1.ann1.run1_008251_1, wa7733.asm1v1.ann1.run1_008253_1, wa7733.asm1v1.ann1.run1_008250_1, wa7733.asm1v1.ann1.run1_008258_1, wa7733.asm1v1.ann1.run1_000884_1, wa7733.asm1v1.ann1.run1_000885_1, wa7733.asm1v1.ann1.run1_000039_1, wa7733.asm1v1.ann1.run1_000886_1, wa7733.asm1v1.ann1.run1_000887_1, wa7733.asm1v1.ann1.run1_014942_1	Sp03g01011, Sp04g01232, Sp09g00743
OG0000005	wa7733.asm1v1.ann1.run1_007385_1	Sp03g00232, Sp03g00229
OG0000005	wa7733.asm1v1.ann1.run1_015081_1, wa7733.asm1v1.ann1.run1_002984_1, wa7733.asm1v1.ann1.run1_013638_1, wa7733.asm1v1.ann1.run1_002993_1, wa7733.asm1v1.ann1.run1_015020_1, wa7733.asm1v1.ann1.run1_015021_1, wa7733.asm1v1.ann1.run1_011806_1, wa7733.asm1v1.ann1.run1_008779_1, wa7733.asm1v1.ann1.run1_010699_1, wa7733.asm1v1.ann1.run1_008859_1, wa7733.asm1v1.ann1.run1_015080_1	Sp03g00227
OG0000005	wa7733.asm1v1.ann1.run1_014791_1, wa7733.asm1v1.ann1.run1_015208_1, wa7733.asm1v1.ann1.run1_015044_1, wa7733.asm1v1.ann1.run1_014792_1, wa7733.asm1v1.ann1.run1_014793_1, wa7733.asm1v1.ann1.run1_015045_1, wa7733.asm1v1.ann1.run1_015031_1, wa7733.asm1v1.ann1.run1_007344_1	Sp10g00114, Sp10g00115
OG0000005	wa7733.asm1v1.ann1.run1_006270_1	Sp07g00302, Sp03g00226
OG0000006	wa7733.asm1v1.ann1.run1_001854_1	Sp09g00240
OG0000006	wa7733.asm1v1.ann1.run1_007734_1	Sp10g00337
OG0000006	wa7733.asm1v1.ann1.run1_001644_1, wa7733.asm1v1.ann1.run1_007332_1	Sp05g00276
OG0000006	wa7733.asm1v1.ann1.run1_004542_1	Sp03g00698
OG0000006	wa7733.asm1v1.ann1.run1_000943_1	Sp01g00256, Sp09g00949
OG0000006	wa7733.asm1v1.ann1.run1_002931_1	Sp06g01181, Sp01g01480
OG0000007	wa7733.asm1v1.ann1.run1_004720_1	Sp03g00438
OG0000007	wa7733.asm1v1.ann1.run1_002276_1	Sp02g00793
OG0000007	wa7733.asm1v1.ann1.run1_000839_1	Sp18g00036
OG0000007	wa7733.asm1v1.ann1.run1_000794_1	Sp18g00099
OG0000007	wa7733.asm1v1.ann1.run1_008065_1	Sp20g00319, Sp09g00440
OG0000007	wa7733.asm1v1.ann1.run1_008206_1	Sp05g01002, Sp03g01028, Sp15g00247
OG0000008	wa7733.asm1v1.ann1.run1_013174_1	Sp18g00577
OG0000008	wa7733.asm1v1.ann1.run1_008139_1	Sp13g00882
OG0000008	wa7733.asm1v1.ann1.run1_011231_1	Sp06g00597
OG0000008	wa7733.asm1v1.ann1.run1_002622_1	Sp01g00715, Sp09g00901
OG0000008	wa7733.asm1v1.ann1.run1_014073_1	Sp17g00232
OG0000009	wa7733.asm1v1.ann1.run1_013703_1, wa7733.asm1v1.ann1.run1_001994_1, wa7733.asm1v1.ann1.run1_004113_1, wa7733.asm1v1.ann1.run1_003064_1, wa7733.asm1v1.ann1.run1_004688_1, wa7733.asm1v1.ann1.run1_014966_1, wa7733.asm1v1.ann1.run1_010974_1, wa7733.asm1v1.ann1.run1_008609_1, wa7733.asm1v1.ann1.run1_014234_1, wa7733.asm1v1.ann1.run1_002904_1, wa7733.asm1v1.ann1.run1_010965_1, wa7733.asm1v1.ann1.run1_002883_1, wa7733.asm1v1.ann1.run1_007797_1, wa7733.asm1v1.ann1.run1_008208_1, wa7733.asm1v1.ann1.run1_010794_1, wa7733.asm1v1.ann1.run1_002128_1, wa7733.asm1v1.ann1.run1_014769_1, wa7733.asm1v1.ann1.run1_011090_1, wa7733.asm1v1.ann1.run1_011156_1, wa7733.asm1v1.ann1.run1_013328_1, wa7733.asm1v1.ann1.run1_005484_1, wa7733.asm1v1.ann1.run1_013619_1, wa7733.asm1v1.ann1.run1_002427_1	Sp03g00070, Sp03g00048, Sp03g00071, Sp09g01178
OG0000010	wa7733.asm1v1.ann1.run1_011801_1	Sp02g00096
OG0000010	wa7733.asm1v1.ann1.run1_011800_1	Sp02g00097
OG0000010	wa7733.asm1v1.ann1.run1_007959_1, wa7733.asm1v1.ann1.run1_012084_1	Sp05g00075
OG0000011	wa7733.asm1v1.ann1.run1_002735_1, wa7733.asm1v1.ann1.run1_002734_1, wa7733.asm1v1.ann1.run1_015014_1, wa7733.asm1v1.ann1.run1_002739_1, wa7733.asm1v1.ann1.run1_012240_1, wa7733.asm1v1.ann1.run1_012189_1, wa7733.asm1v1.ann1.run1_012192_1, wa7733.asm1v1.ann1.run1_012191_1, wa7733.asm1v1.ann1.run1_012190_1, wa7733.asm1v1.ann1.run1_013974_1, wa7733.asm1v1.ann1.run1_012450_1, wa7733.asm1v1.ann1.run1_009295_1, wa7733.asm1v1.ann1.run1_013769_1	Sp06g00236, Sp01g01354, Sp06g00235, Sp19g00328, Sp19g00327
OG0000013	wa7733.asm1v1.ann1.run1_012991_1, wa7733.asm1v1.ann1.run1_012991_2	Sp03g00687
OG0000013	wa7733.asm1v1.ann1.run1_000947_1	Sp09g00953
OG0000013	wa7733.asm1v1.ann1.run1_000586_1	Sp04g00198
OG0000013	wa7733.asm1v1.ann1.run1_001292_1	Sp11g00553, Sp15g00460
OG0000013	wa7733.asm1v1.ann1.run1_007501_1	Sp19g00027, Sp08g01271
OG0000014	wa7733.asm1v1.ann1.run1_014916_1	Sp08g00765, Sp08g00773
OG0000014	wa7733.asm1v1.ann1.run1_013199_1, wa7733.asm1v1.ann1.run1_001138_1, wa7733.asm1v1.ann1.run1_013198_1, wa7733.asm1v1.ann1.run1_013197_1, wa7733.asm1v1.ann1.run1_013196_1, wa7733.asm1v1.ann1.run1_002724_1, wa7733.asm1v1.ann1.run1_013195_1, wa7733.asm1v1.ann1.run1_000202_1, wa7733.asm1v1.ann1.run1_000203_1	Sp11g00084, Sp05g00265, Sp08g00772, Sp08g00768, Sp08g00770, Sp08g00766
OG0000015	wa7733.asm1v1.ann1.run1_009136_1	Sp09g00105, Sp02g00223, Sp14g00154, Sp19g00098, Sp08g01090
OG0000016	wa7733.asm1v1.ann1.run1_003240_1	Sp12g00466
OG0000016	wa7733.asm1v1.ann1.run1_006345_1	Sp12g00468
OG0000016	wa7733.asm1v1.ann1.run1_003953_1, wa7733.asm1v1.ann1.run1_003954_1, wa7733.asm1v1.ann1.run1_003233_1, wa7733.asm1v1.ann1.run1_003214_1	Sp12g00458, Sp12g00459, Sp12g00461, Sp12g00463, Sp12g00460, Sp12g00462, Sp10g00234
OG0000017	wa7733.asm1v1.ann1.run1_011147_1	Sp13g00972
OG0000017	wa7733.asm1v1.ann1.run1_013625_1	Sp17g00350
OG0000017	wa7733.asm1v1.ann1.run1_004812_1	Sp14g00544, Sp02g00987
OG0000017	wa7733.asm1v1.ann1.run1_000738_1	Sp18g00205
OG0000017	wa7733.asm1v1.ann1.run1_006758_1, wa7733.asm1v1.ann1.run1_006758_2	Sp03g01205
OG0000018	wa7733.asm1v1.ann1.run1_000487_1	Sp14g00210
OG0000018	wa7733.asm1v1.ann1.run1_006318_1, wa7733.asm1v1.ann1.run1_012462_1	Sp10g01082
OG0000018	wa7733.asm1v1.ann1.run1_009537_1	Sp01g01764
OG0000018	wa7733.asm1v1.ann1.run1_006865_1	Sp06g00336, Sp10g00845
OG0000019	wa7733.asm1v1.ann1.run1_006153_1	Sp19g00245
OG0000020	wa7733.asm1v1.ann1.run1_011448_1	Sp18g00485
OG0000020	wa7733.asm1v1.ann1.run1_010459_1	Sp20g00050
OG0000020	wa7733.asm1v1.ann1.run1_001003_1	Sp02g00688, Sp02g00690
OG0000021	wa7733.asm1v1.ann1.run1_010239_1, wa7733.asm1v1.ann1.run1_012957_1, wa7733.asm1v1.ann1.run1_003738_1, wa7733.asm1v1.ann1.run1_005176_1, wa7733.asm1v1.ann1.run1_005175_1, wa7733.asm1v1.ann1.run1_014336_1, wa7733.asm1v1.ann1.run1_005173_1, wa7733.asm1v1.ann1.run1_013664_1, wa7733.asm1v1.ann1.run1_014264_1, wa7733.asm1v1.ann1.run1_013167_1, wa7733.asm1v1.ann1.run1_013168_1, wa7733.asm1v1.ann1.run1_014037_1, wa7733.asm1v1.ann1.run1_003735_1, wa7733.asm1v1.ann1.run1_003751_1	Sp11g00864
OG0000022	wa7733.asm1v1.ann1.run1_015075_1, wa7733.asm1v1.ann1.run1_014140_1, wa7733.asm1v1.ann1.run1_014428_1, wa7733.asm1v1.ann1.run1_014427_1, wa7733.asm1v1.ann1.run1_014429_1, wa7733.asm1v1.ann1.run1_014141_1, wa7733.asm1v1.ann1.run1_014138_1, wa7733.asm1v1.ann1.run1_014974_1, wa7733.asm1v1.ann1.run1_014139_1, wa7733.asm1v1.ann1.run1_014704_1, wa7733.asm1v1.ann1.run1_014703_1, wa7733.asm1v1.ann1.run1_014631_1, wa7733.asm1v1.ann1.run1_011224_1, wa7733.asm1v1.ann1.run1_014632_1	Sp04g00191
OG0000023	wa7733.asm1v1.ann1.run1_009191_1	Sp05g00332
OG0000023	wa7733.asm1v1.ann1.run1_003589_1	Sp16g00193
OG0000023	wa7733.asm1v1.ann1.run1_002500_1	Sp10g00184
OG0000023	wa7733.asm1v1.ann1.run1_006307_1	Sp10g01073
OG0000023	wa7733.asm1v1.ann1.run1_009200_1	Sp05g00411
OG0000024	wa7733.asm1v1.ann1.run1_012312_1, wa7733.asm1v1.ann1.run1_012316_1	Sp19g00501
