	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0016686	g7.t1			
OG0016687	g8.t1			
OG0016688	g11.t1			
OG0016689	g23.t1			
OG0016690	g25.t1			
OG0016691	g34.t1			
OG0016692	g51.t1			
OG0016693	g56.t1			
OG0016694	g83.t1			
OG0016695	g85.t1			
OG0016696	g92.t1			
OG0016697	g101.t1			
OG0016698	g103.t1			
OG0016699	g121.t1			
OG0016700	g123.t1			
OG0016701	g126.t1			
OG0016702	g130.t1			
OG0016703	g134.t1			
OG0016704	g148.t1			
OG0016705	g163.t1			
OG0016706	g165.t1			
OG0016707	g177.t1			
OG0016708	g178.t1			
OG0016709	g221.t1			
OG0016710	g223.t1			
OG0016711	g229.t1			
OG0016712	g230.t1			
OG0016713	g243.t1			
OG0016714	g244.t1			
OG0016715	g262.t1			
OG0016716	g266.t1			
OG0016717	g269.t1			
OG0016718	g295.t1			
OG0016719	g300.t1			
OG0016720	g304.t1			
OG0016721	g306.t1			
OG0016722	g317.t1			
OG0016723	g324.t1			
OG0016724	g328.t1			
OG0016725	g350.t1			
OG0016726	g359.t1			
OG0016727	g380.t1			
OG0016728	g385.t1			
OG0016729	g415.t1			
OG0016730	g417.t1			
OG0016731	g447.t1			
OG0016732	g453.t1			
OG0016733	g455.t1			
OG0016734	g471.t1			
OG0016735	g492.t1			
OG0016736	g509.t1			
OG0016737	g534.t1			
OG0016738	g547.t1			
OG0016739	g554.t1			
OG0016740	g575.t1			
OG0016741	g581.t1			
OG0016742	g583.t1			
OG0016743	g607.t1			
OG0016744	g613.t1			
OG0016745	g615.t1			
OG0016746	g617.t1			
OG0016747	g618.t1			
OG0016748	g625.t1			
OG0016749	g629.t1			
OG0016750	g640.t1			
OG0016751	g656.t1			
OG0016752	g664.t1			
OG0016753	g679.t1			
OG0016754	g684.t1			
OG0016755	g691.t1			
OG0016756	g697.t1			
OG0016757	g707.t1			
OG0016758	g717.t1			
OG0016759	g724.t1			
OG0016760	g730.t1			
OG0016761	g741.t1			
OG0016762	g749.t1			
OG0016763	g751.t1			
OG0016764	g752.t1			
OG0016765	g753.t1			
OG0016766	g754.t1			
OG0016767	g765.t1			
OG0016768	g767.t1			
OG0016769	g773.t1			
OG0016770	g783.t1			
OG0016771	g784.t1			
OG0016772	g787.t1			
OG0016773	g788.t1			
OG0016774	g789.t1			
OG0016775	g792.t1			
OG0016776	g793.t1			
OG0016777	g796.t1			
OG0016778	g797.t1			
OG0016779	g798.t1			
OG0016780	g799.t1			
OG0016781	g802.t1			
OG0016782	g804.t1			
OG0016783	g805.t1			
OG0016784	g806.t1			
OG0016785	g809.t1			
OG0016786	g823.t1			
OG0016787	g826.t1			
OG0016788	g837.t1			
OG0016789	g838.t1			
OG0016790	g839.t1			
OG0016791	g840.t1			
OG0016792	g841.t1			
OG0016793	g849.t1			
OG0016794	g856.t1			
OG0016795	g860.t1			
OG0016796	g862.t1			
OG0016797	g866.t1			
OG0016798	g868.t1			
OG0016799	g869.t1			
OG0016800	g889.t1			
OG0016801	g902.t1			
OG0016802	g910.t1			
OG0016803	g911.t1			
OG0016804	g931.t1			
OG0016805	g947.t1			
OG0016806	g953.t1			
OG0016807	g962.t1			
OG0016808	g967.t1			
OG0016809	g975.t1			
OG0016810	g999.t1			
OG0016811	g1000.t1			
OG0016812	g1007.t1			
OG0016813	g1012.t1			
OG0016814	g1017.t1			
OG0016815	g1022.t1			
OG0016816	g1026.t1			
OG0016817	g1029.t1			
OG0016818	g1036.t1			
OG0016819	g1039.t1			
OG0016820	g1047.t1			
OG0016821	g1064.t1			
OG0016822	g1073.t1			
OG0016823	g1147.t1			
OG0016824	g1170.t1			
OG0016825	g1172.t1			
OG0016826	g1177.t1			
OG0016827	g1203.t1			
OG0016828	g1209.t1			
OG0016829	g1213.t1			
OG0016830	g1214.t1			
OG0016831	g1215.t1			
OG0016832	g1216.t1			
OG0016833	g1217.t1			
OG0016834	g1218.t1			
OG0016835	g1219.t1			
OG0016836	g1220.t1			
OG0016837	g1261.t1			
OG0016838	g1268.t1			
OG0016839	g1274.t1			
OG0016840	g1284.t1			
OG0016841	g1297.t1			
OG0016842	g1305.t1			
OG0016843	g1356.t1			
OG0016844	g1364.t1			
OG0016845	g1365.t1			
OG0016846	g1367.t1			
OG0016847	g1372.t1			
OG0016848	g1388.t1			
OG0016849	g1396.t1			
OG0016850	g1403.t1			
OG0016851	g1407.t1			
OG0016852	g1463.t1			
OG0016853	g1465.t1			
OG0016854	g1469.t1			
OG0016855	g1507.t1			
OG0016856	g1517.t1			
OG0016857	g1519.t1			
OG0016858	g1528.t1			
OG0016859	g1534.t1			
OG0016860	g1536.t1			
OG0016861	g1539.t1			
OG0016862	g1552.t1			
OG0016863	g1559.t1			
OG0016864	g1560.t1			
OG0016865	g1579.t1			
OG0016866	g1616.t1			
OG0016867	g1620.t1			
OG0016868	g1623.t1			
OG0016869	g1636.t1			
OG0016870	g1639.t1			
OG0016871	g1640.t1			
OG0016872	g1668.t1			
OG0016873	g1677.t1			
OG0016874	g1720.t1			
OG0016875	g1725.t1			
OG0016876	g1738.t1			
OG0016877	g1742.t1			
OG0016878	g1757.t1			
OG0016879	g1782.t1			
OG0016880	g1792.t1			
OG0016881	g1801.t1			
OG0016882	g1802.t1			
OG0016883	g1805.t1			
OG0016884	g1813.t1			
OG0016885	g1818.t1			
OG0016886	g1843.t1			
OG0016887	g1850.t1			
OG0016888	g1853.t1			
OG0016889	g1857.t1			
OG0016890	g1860.t1			
OG0016891	g1864.t1			
OG0016892	g1868.t1			
OG0016893	g1874.t1			
OG0016894	g1882.t1			
OG0016895	g1906.t1			
OG0016896	g1918.t1			
OG0016897	g1922.t1			
OG0016898	g1928.t1			
OG0016899	g1930.t1			
OG0016900	g1934.t1			
OG0016901	g1955.t1			
OG0016902	g1956.t1			
OG0016903	g1960.t1			
OG0016904	g1962.t1			
OG0016905	g1980.t1			
OG0016906	g1982.t1			
OG0016907	g1983.t1			
OG0016908	g1985.t1			
OG0016909	g1992.t1			
OG0016910	g2011.t1			
OG0016911	g2019.t1			
OG0016912	g2048.t1			
OG0016913	g2053.t1			
OG0016914	g2056.t1			
OG0016915	g2060.t1			
OG0016916	g2063.t1			
OG0016917	g2069.t1			
OG0016918	g2072.t1			
OG0016919	g2092.t1			
OG0016920	g2097.t1			
OG0016921	g2100.t1			
OG0016922	g2110.t1			
OG0016923	g2113.t1			
OG0016924	g2116.t1			
OG0016925	g2129.t1			
OG0016926	g2131.t1			
OG0016927	g2137.t1			
OG0016928	g2146.t1			
OG0016929	g2154.t1			
OG0016930	g2169.t1			
OG0016931	g2177.t1			
OG0016932	g2219.t1			
OG0016933	g2223.t1			
OG0016934	g2224.t1			
OG0016935	g2225.t1			
OG0016936	g2237.t1			
OG0016937	g2247.t1			
OG0016938	g2252.t1			
OG0016939	g2256.t1			
OG0016940	g2260.t1			
OG0016941	g2281.t1			
OG0016942	g2289.t1			
OG0016943	g2296.t1			
OG0016944	g2317.t1			
OG0016945	g2320.t1			
OG0016946	g2342.t1			
OG0016947	g2367.t1			
OG0016948	g2372.t1			
OG0016949	g2378.t1			
OG0016950	g2400.t1			
OG0016951	g2402.t1			
OG0016952	g2404.t1			
OG0016953	g2407.t1			
OG0016954	g2412.t1			
OG0016955	g2435.t1			
OG0016956	g2448.t1			
OG0016957	g2450.t1			
OG0016958	g2455.t1			
OG0016959	g2457.t1			
OG0016960	g2495.t1			
OG0016961	g2500.t1			
OG0016962	g2505.t1			
OG0016963	g2521.t1			
OG0016964	g2533.t1			
OG0016965	g2537.t1			
OG0016966	g2540.t1			
OG0016967	g2549.t1			
OG0016968	g2551.t1			
OG0016969	g2561.t1			
OG0016970	g2564.t1			
OG0016971	g2576.t1			
OG0016972	g2587.t1			
OG0016973	g2589.t1			
OG0016974	g2592.t1			
OG0016975	g2596.t1			
OG0016976	g2597.t1			
OG0016977	g2598.t1			
OG0016978	g2600.t1			
OG0016979	g2602.t1			
OG0016980	g2606.t1			
OG0016981	g2615.t1			
OG0016982	g2653.t1			
OG0016983	g2671.t1			
OG0016984	g2695.t1			
OG0016985	g2700.t1			
OG0016986	g2702.t1			
OG0016987	g2728.t1			
OG0016988	g2740.t1			
OG0016989	g2746.t1			
OG0016990	g2759.t1			
OG0016991	g2767.t1			
OG0016992	g2788.t1			
OG0016993	g2789.t1			
OG0016994	g2790.t1			
OG0016995	g2791.t1			
OG0016996	g2796.t1			
OG0016997	g2812.t1			
OG0016998	g2813.t1			
