#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AT1G61180.1          -          NB-ARC               PF00931.23   1.4e-90  304.3   0.6   2.5e-90  303.5   0.6   1.4   1   0   0   1   1   1   1 | AT1G61180
AT1G61180.2          -          NB-ARC               PF00931.23   1.5e-90  304.2   0.6   2.5e-90  303.5   0.6   1.4   1   0   0   1   1   1   1 | AT1G61180
AT1G10920.1          -          NB-ARC               PF00931.23   6.4e-90  302.1   0.5   9.1e-90  301.7   0.1   1.5   2   0   0   2   2   1   1 | AT1G10920
AT1G10920.2          -          NB-ARC               PF00931.23   6.4e-90  302.1   0.5   9.1e-90  301.7   0.1   1.5   2   0   0   2   2   1   1 | AT1G10920
AT1G10920.4          -          NB-ARC               PF00931.23   6.4e-90  302.1   0.5   9.1e-90  301.7   0.1   1.5   2   0   0   2   2   1   1 | AT1G10920
AT1G61310.1          -          NB-ARC               PF00931.23   9.1e-88  295.1   0.2   1.6e-87  294.3   0.2   1.4   1   0   0   1   1   1   1 | AT1G61310
AT1G61190.4          -          NB-ARC               PF00931.23     2e-87  294.0   0.6   3.5e-87  293.2   0.6   1.4   1   0   0   1   1   1   1 | AT1G61190
AT1G61300.2          -          NB-ARC               PF00931.23     2e-87  294.0   1.3   3.2e-87  293.3   1.3   1.3   1   0   0   1   1   1   1 | AT1G61300
AT1G61190.2          -          NB-ARC               PF00931.23   2.1e-87  293.9   0.6   3.7e-87  293.1   0.6   1.4   1   0   0   1   1   1   1 | AT1G61190
AT1G61190.3          -          NB-ARC               PF00931.23   2.1e-87  293.9   0.6   3.7e-87  293.1   0.6   1.4   1   0   0   1   1   1   1 | AT1G61190
AT1G61300.1          -          NB-ARC               PF00931.23   2.1e-87  293.9   1.3   3.4e-87  293.2   1.3   1.3   1   0   0   1   1   1   1 | AT1G61300
AT1G61190.1          -          NB-ARC               PF00931.23   2.5e-87  293.6   0.6   4.3e-87  292.9   0.6   1.4   1   0   0   1   1   1   1 | AT1G61190
AT3G50950.1          -          NB-ARC               PF00931.23   5.5e-85  286.0   0.1     1e-84  285.1   0.1   1.5   1   0   0   1   1   1   1 | AT3G50950
AT3G50950.2          -          NB-ARC               PF00931.23   5.5e-85  286.0   0.1     1e-84  285.1   0.1   1.5   1   0   0   1   1   1   1 | AT3G50950
AT1G12220.3          -          NB-ARC               PF00931.23   4.9e-83  279.6   0.1   8.6e-83  278.8   0.1   1.4   1   0   0   1   1   1   1 | AT1G12220
AT1G12220.1          -          NB-ARC               PF00931.23   6.3e-83  279.2   0.1   1.1e-82  278.4   0.1   1.4   1   0   0   1   1   1   1 | AT1G12220
AT1G12220.2          -          NB-ARC               PF00931.23   6.3e-83  279.2   0.1   1.1e-82  278.4   0.1   1.4   1   0   0   1   1   1   1 | AT1G12220
AT3G07040.1          -          NB-ARC               PF00931.23   6.6e-83  279.2   0.0   1.2e-82  278.4   0.0   1.4   1   0   0   1   1   1   1 | AT3G07040
AT5G43470.1          -          NB-ARC               PF00931.23   5.4e-82  276.2   0.6     1e-80  272.0   0.1   2.2   2   0   0   2   2   1   1 | AT5G43470
AT5G43470.2          -          NB-ARC               PF00931.23   5.4e-82  276.2   0.6     1e-80  272.0   0.1   2.2   2   0   0   2   2   1   1 | AT5G43470
AT5G43470.3          -          NB-ARC               PF00931.23   5.4e-82  276.2   0.6     1e-80  272.0   0.1   2.2   2   0   0   2   2   1   1 | AT5G43470
AT5G43470.4          -          NB-ARC               PF00931.23   5.4e-82  276.2   0.6     1e-80  272.0   0.1   2.2   2   0   0   2   2   1   1 | AT5G43470
AT4G26090.1          -          NB-ARC               PF00931.23     7e-82  275.8   0.1     1e-81  275.3   0.1   1.2   1   0   0   1   1   1   1 | AT4G26090
