Orthogroup	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins
OG0000000	g14266.t1, g14265.t1	Sp12g00877
OG0000000	g1527.t1	Sp08g00563
OG0000000	g14003.t1	Sp12g00604
OG0000000	g17359.t1	Sp16g00517, Sp13g00755, Sp02g00073
OG0000000	g3800.t1	Sp01g01214
OG0000000	g7906.t1	Sp06g00281
OG0000000	g3797.t1	Sp01g01216
OG0000000	g11454.t1	Sp04g00326
OG0000000	g11269.t1	Sp04g00538
OG0000000	g13299.t1	Sp16g00183
OG0000000	g2645.t1	Sp07g00535
OG0000000	g5132.t1	Sp10g00261
OG0000000	g10996.t1	Sp04g00805
OG0000000	g12239.t1	Sp14g00310
OG0000000	g17884.t1	Sp02g00616
OG0000001	g8247.t1	Sp06g00750
OG0000001	g14010.t1	Sp02g00617
OG0000001	g6376.t1, g10106.t1, g3810.t1, g16325.t1, g3178.t1, g3690.t1, g3684.t1, g1852.t1, g5835.t1	Sp01g01671
OG0000002	g15117.t1	Sp18g00026, Sp18g00023
OG0000002	g15121.t1, g15120.t1	Sp18g00024, Sp13g00103
OG0000004	g14487.t1	Sp03g01011, Sp04g01232
OG0000004	g1165.t1	Sp09g00743
OG0000005	g4997.t1	Sp10g00114, Sp10g00115
OG0000005	g1585.t1	Sp07g00302, Sp03g00226
OG0000006	g9498.t1	Sp09g00240
OG0000006	g5199.t1	Sp10g00337
OG0000006	g6841.t1	Sp05g00276
OG0000006	g4654.t1	Sp01g00289
OG0000006	g16640.t1	Sp03g00698
OG0000006	g4676.t1	Sp01g00256
OG0000006	g10145.t1	Sp09g00949
OG0000006	g8606.t1	Sp06g01181
OG0000006	g3384.t1	Sp01g01480
OG0000007	g16920.t1	Sp03g00438
OG0000007	g15047.t1	Sp18g00099
OG0000007	g6124.t1	Sp20g00319
OG0000007	g9678.t1	Sp09g00440
OG0000007	g18970.t1, g18973.t1, g18976.t1, g18966.t1	Sp05g01002, Sp03g01028, Sp15g00247
OG0000008	g14571.t1	Sp18g00577
OG0000008	g111.t1	Sp13g00882
OG0000008	g7607.t1	Sp06g00597
OG0000008	g10188.t1	Sp01g00715, Sp09g00901
OG0000009	g829.t1	Sp09g01156
OG0000009	g17254.t1	Sp03g00070, Sp03g00048, Sp03g00071, Sp09g01178
OG0000010	g17523.t1, g17522.t1	Sp02g00097
OG0000010	g6983.t1	Sp05g00075
OG0000011	g7952.t1	Sp06g00236, Sp01g01354, Sp06g00235
OG0000011	g9027.t1, g19373.t1, g19374.t1	Sp19g00328, Sp19g00327
OG0000013	g16650.t1	Sp03g00687
