Orthogroup	Sp9509_oxford_v3.proteins	wa8730.asm201904v2.ann1.proteins
OG0000000	Sp12g00877	Wa8730a015g000580_P001
OG0000000	Sp08g00563	Wa8730a005g004760_P001
OG0000000	Sp12g00604	Wa8730a010g005410_P001
OG0000000	Sp16g00517, Sp13g00755, Sp02g00073	Wa8730a004g003940_P001
OG0000000	Sp01g01214	Wa8730a018g001770_P001
OG0000000	Sp06g00281	Wa8730a019g001810_P001
OG0000000	Sp04g00326	Wa8730a007g006910_P001
OG0000000	Sp04g00538	Wa8730a007g005240_P001
OG0000000	Sp16g00183	Wa8730a006g004300_P001
OG0000000	Sp07g00535	Wa8730a012g001710_P001
OG0000000	Sp10g00261, Sp04g00805	Wa8730a007g003250_P001, Wa8730a020g001370_P001
OG0000001	Sp01g01671	Wa8730a017g003690_P001, Wa8730a003g006640_P001, Wa8730a009g001100_P001, Wa8730a009g001180_P001, Wa8730a009g001120_P001, Wa8730a009g001110_P001, Wa8730a009g001130_P001, Wa8730a009g001170_P001, Wa8730a009g001140_P001, Wa8730a009g003870_P001, Wa8730a013g005840_P001, Wa8730a009g001270_P001, Wa8730a009g001310_P001, Wa8730a009g001300_P001, Wa8730a009g001320_P001, Wa8730a009g001330_P001, Wa8730a009g001340_P001, Wa8730a009g001590_P001, Wa8730a009g001390_P001, Wa8730a009g001160_P001, Wa8730a003g000180_P001, Wa8730a009g001150_P001, Wa8730a009g001090_P001, Wa8730a009g000460_P001
OG0000002	Sp18g00026, Sp18g00023	Wa8730a016g004780_P001
OG0000002	Sp18g00024, Sp13g00103	Wa8730a016g004770_P001, Wa8730a001g000880_P001, Wa8730a007g004070_P001, Wa8730a016g003300_P001, Wa8730a016g003270_P001, Wa8730a016g003260_P001, Wa8730a016g003310_P001, Wa8730a016g003280_P001, Wa8730a016g003250_P001, Wa8730a002g003060_P001, Wa8730a005g005290_P001, Wa8730a010g002100_P001, Wa8730a012g003490_P001, Wa8730a012g003470_P001, Wa8730a012g003440_P001, Wa8730a003g007330_P001, Wa8730a016g004810_P001, Wa8730a003g007260_P001
OG0000003	Sp08g00885	Wa8730a005g002910_P001
OG0000003	Sp12g00504, Sp12g00495, Sp12g00517, Sp12g00514, Sp12g00521, Sp12g00519, Sp12g00494, Sp12g00508	Wa8730a015g003240_P001
OG0000003	Sp05g00018	Wa8730a010g000110_P001, Wa8730a010g000100_P001
OG0000003	Sp19g00057	Wa8730a004g008520_P001
OG0000003	Sp08g01186	Wa8730a005g000790_P001
OG0000003	Sp10g00455, Sp10g00454, Sp10g00453	Wa8730a001g007900_P002, Wa8730a001g007900_P001, Wa8730a002g000640_P001, Wa8730a002g000620_P001, Wa8730a020g000100_P001, Wa8730a020g000110_P001
OG0000004	Sp03g01011, Sp04g01232, Sp09g00743	Wa8730a016g000380_P001, Wa8730a006g004710_P001, Wa8730a014g001670_P001, Wa8730a014g001630_P001, Wa8730a014g001620_P001, Wa8730a009g003160_P001, Wa8730a009g003150_P001, Wa8730a009g003140_P001, Wa8730a009g003220_P001, Wa8730a014g002180_P001, Wa8730a014g002170_P001, Wa8730a012g005020_P001, Wa8730a014g002160_P001, Wa8730a011g004170_P001, Wa8730a011g004180_P001
OG0000005	Sp03g00232, Sp03g00229	Wa8730a003g001160_P001
OG0000005	Sp03g00227	Wa8730a001g006440_P001, Wa8730a001g010590_P001, Wa8730a002g010020_P001, Wa8730a001g011430_P001, Wa8730a003g000890_P001, Wa8730a003g001150_P001
OG0000005	Sp10g00114, Sp10g00115	Wa8730a00Ug000080_P001
OG0000005	Sp07g00302, Sp03g00226	Wa8730a005g005430_P001
OG0000006	Sp09g00240	Wa8730a014g006020_P001
OG0000006	Sp10g00337	Wa8730a020g000300_P001
OG0000006	Sp05g00276	Wa8730a001g004420_P001, Wa8730a010g001680_P001
OG0000006	Sp03g00698	Wa8730a003g004290_P001
OG0000006	Sp06g01181, Sp01g01480	Wa8730a001g007000_P001
OG0000007	Sp03g00438	Wa8730a003g002300_P001
OG0000007	Sp02g00793	Wa8730a002g004580_P001
OG0000007	Sp18g00036	Wa8730a016g004710_P001
OG0000007	Sp18g00099	Wa8730a016g004250_P001
OG0000007	Sp20g00319, Sp09g00440	Wa8730a014g004920_P001
OG0000008	Sp18g00577	Wa8730a016g001020_P001
OG0000008	Sp06g00597	Wa8730a019g003480_P001
OG0000008	Sp17g00232	Wa8730a008g004930_P001
OG0000009	Sp09g01156	Wa8730a014g000140_P001
OG0000010	Sp02g00096	Wa8730a002g009950_P001
OG0000010	Sp02g00097	Wa8730a002g009930_P001
OG0000010	Sp05g00075	Wa8730a004g003200_P001, Wa8730a010g000520_P001
OG0000011	Sp06g00236, Sp01g01354, Sp06g00235, Sp19g00328, Sp19g00327	Wa8730a005g002480_P001, Wa8730a005g002500_P001, Wa8730a005g002490_P001, Wa8730a005g002420_P001, Wa8730a005g001800_P001, Wa8730a005g001780_P001, Wa8730a005g001790_P001, Wa8730a005g001350_P001, Wa8730a004g006720_P001, Wa8730a004g000730_P001
OG0000013	Sp03g00687	Wa8730a003g004220_P001
OG0000013	Sp09g00953	Wa8730a014g001550_P001
OG0000013	Sp04g00198	Wa8730a007g007700_P001
OG0000013	Sp11g00553, Sp15g00460	Wa8730a001g010290_P001
OG0000013	Sp19g00027, Sp08g01271	Wa8730a005g000290_P001
OG0000014	Sp08g00765, Sp08g00773	Wa8730a005g003480_P001
OG0000014	Sp11g00084, Sp05g00265, Sp08g00772, Sp08g00768, Sp08g00770, Sp08g00766	Wa8730a005g003470_P001, Wa8730a005g004920_P001, Wa8730a005g003460_P001, Wa8730a005g003450_P001, Wa8730a005g003440_P001, Wa8730a005g003430_P001, Wa8730a005g002580_P001, Wa8730a005g003410_P001, Wa8730a011g003070_P001, Wa8730a011g003080_P001
OG0000015	Sp09g00105, Sp02g00223, Sp14g00154, Sp19g00098, Sp08g01090	Wa8730a005g001460_P001
OG0000016	Sp12g00466	Wa8730a015g003320_P001
OG0000016	Sp12g00468	Wa8730a015g002750_P001
OG0000016	Sp12g00458, Sp12g00459, Sp12g00461, Sp12g00463, Sp12g00460, Sp12g00462, Sp10g00234	Wa8730a016g000410_P001, Wa8730a015g003530_P001
OG0000017	Sp13g00972	Wa8730a004g004710_P001
OG0000017	Sp17g00350	Wa8730a008g005230_P001
OG0000017	Sp14g00544, Sp02g00987	Wa8730a002g002020_P001
OG0000017	Sp18g00205	Wa8730a016g003730_P001
OG0000017	Sp03g01205	Wa8730a003g006950_P002, Wa8730a003g006950_P001
OG0000018	Sp14g00210	Wa8730a013g004500_P001
OG0000018	Sp10g01082	Wa8730a009g000220_P001, Wa8730a019g000160_P001
OG0000018	Sp01g01764	Wa8730a001g012150_P001
OG0000018	Sp06g00336, Sp10g00845	Wa8730a019g002000_P001
OG0000020	Sp18g00485	Wa8730a016g001730_P001
OG0000020	Sp20g00050	Wa8730a017g003640_P001
OG0000020	Sp02g00688, Sp02g00690	Wa8730a002g005420_P001
