Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002543_1, wa8730_asm201904v2_ann1_proteins_Wa8730a015g000580_P001, Sp9509_oxford_v3_proteins_Sp12g00877, Sp7498_pacbio_protein_g14266.t1, Sp7498_pacbio_protein_g14265.t1	wa8730_asm201904v2_ann1_proteins_Wa8730a005g004760_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001151_1, Sp9509_oxford_v3_proteins_Sp08g00563, Sp7498_pacbio_protein_g1527.t1, Sp9509_oxford_v3_proteins_Sp18g00751, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_011440_1, wa8730_asm201904v2_ann1_proteins_Wa8730a010g005410_P001, Sp9509_oxford_v3_proteins_Sp12g00604, Sp7498_pacbio_protein_g14003.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006365_1, Sp7498_pacbio_protein_g17359.t1, Sp9509_oxford_v3_proteins_Sp16g00517, Sp9509_oxford_v3_proteins_Sp13g00755, Sp9509_oxford_v3_proteins_Sp02g00073, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_007966_1, wa8730_asm201904v2_ann1_proteins_Wa8730a004g003940_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1, Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g006910_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_000646_1, Sp9509_oxford_v3_proteins_Sp04g00326, Sp7498_pacbio_protein_g11454.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183, Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001, Sp7498_pacbio_protein_g11268.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001735_1, Sp9509_oxford_v3_proteins_Sp10g00261, Sp7498_pacbio_protein_g5132.t1, Sp9509_oxford_v3_proteins_Sp04g00805, Sp7498_pacbio_protein_g10996.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g003250_P001, wa8730_asm201904v2_ann1_proteins_Wa8730a020g001370_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_008639_1, Sp7498_pacbio_protein_g12239.t1, Sp9509_oxford_v3_proteins_Sp14g00310, Sp9509_oxford_v3_proteins_Sp02g00616, Sp7498_pacbio_protein_g17884.t1
OG0000000	Sp7498_pacbio.protein	n4	1.0	Terminal	Sp7498_pacbio_protein_g14266.t1	Sp7498_pacbio_protein_g14265.t1
OG0000000	N0	n5	1.0	Non-Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a005g004760_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001151_1, Sp9509_oxford_v3_proteins_Sp08g00563, Sp7498_pacbio_protein_g1527.t1, Sp9509_oxford_v3_proteins_Sp18g00751, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_011440_1, wa8730_asm201904v2_ann1_proteins_Wa8730a010g005410_P001, Sp9509_oxford_v3_proteins_Sp12g00604, Sp7498_pacbio_protein_g14003.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006365_1, Sp7498_pacbio_protein_g17359.t1, Sp9509_oxford_v3_proteins_Sp16g00517, Sp9509_oxford_v3_proteins_Sp13g00755, Sp9509_oxford_v3_proteins_Sp02g00073, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_007966_1, wa8730_asm201904v2_ann1_proteins_Wa8730a004g003940_P001	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1, Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g006910_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_000646_1, Sp9509_oxford_v3_proteins_Sp04g00326, Sp7498_pacbio_protein_g11454.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183, Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001, Sp7498_pacbio_protein_g11268.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001735_1, Sp9509_oxford_v3_proteins_Sp10g00261, Sp7498_pacbio_protein_g5132.t1, Sp9509_oxford_v3_proteins_Sp04g00805, Sp7498_pacbio_protein_g10996.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g003250_P001, wa8730_asm201904v2_ann1_proteins_Wa8730a020g001370_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_008639_1, Sp7498_pacbio_protein_g12239.t1, Sp9509_oxford_v3_proteins_Sp14g00310, Sp9509_oxford_v3_proteins_Sp02g00616, Sp7498_pacbio_protein_g17884.t1
OG0000000	N0	n6	1.0	Non-Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a005g004760_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001151_1, Sp9509_oxford_v3_proteins_Sp08g00563, Sp7498_pacbio_protein_g1527.t1, Sp9509_oxford_v3_proteins_Sp18g00751	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_011440_1, wa8730_asm201904v2_ann1_proteins_Wa8730a010g005410_P001, Sp9509_oxford_v3_proteins_Sp12g00604, Sp7498_pacbio_protein_g14003.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006365_1, Sp7498_pacbio_protein_g17359.t1, Sp9509_oxford_v3_proteins_Sp16g00517, Sp9509_oxford_v3_proteins_Sp13g00755, Sp9509_oxford_v3_proteins_Sp02g00073, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_007966_1, wa8730_asm201904v2_ann1_proteins_Wa8730a004g003940_P001
OG0000000	N0	n7	0.25	Non-Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a005g004760_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001151_1, Sp9509_oxford_v3_proteins_Sp08g00563, Sp7498_pacbio_protein_g1527.t1	Sp9509_oxford_v3_proteins_Sp18g00751
OG0000000	N0	n11	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_011440_1, wa8730_asm201904v2_ann1_proteins_Wa8730a010g005410_P001, Sp9509_oxford_v3_proteins_Sp12g00604, Sp7498_pacbio_protein_g14003.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006365_1	Sp7498_pacbio_protein_g17359.t1, Sp9509_oxford_v3_proteins_Sp16g00517, Sp9509_oxford_v3_proteins_Sp13g00755, Sp9509_oxford_v3_proteins_Sp02g00073, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_007966_1, wa8730_asm201904v2_ann1_proteins_Wa8730a004g003940_P001
OG0000000	N0	n12	0.25	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_011440_1, wa8730_asm201904v2_ann1_proteins_Wa8730a010g005410_P001, Sp9509_oxford_v3_proteins_Sp12g00604, Sp7498_pacbio_protein_g14003.t1	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006365_1
OG0000000	Sp9509_oxford_v3.proteins	n18	1.0	Terminal	Sp9509_oxford_v3_proteins_Sp16g00517, Sp9509_oxford_v3_proteins_Sp13g00755	Sp9509_oxford_v3_proteins_Sp02g00073
OG0000000	Sp9509_oxford_v3.proteins	n19	1.0	Terminal	Sp9509_oxford_v3_proteins_Sp16g00517	Sp9509_oxford_v3_proteins_Sp13g00755
OG0000000	N0	n21	0.5	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1, Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g006910_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_000646_1, Sp9509_oxford_v3_proteins_Sp04g00326, Sp7498_pacbio_protein_g11454.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183, Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001, Sp7498_pacbio_protein_g11268.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001735_1, Sp9509_oxford_v3_proteins_Sp10g00261, Sp7498_pacbio_protein_g5132.t1, Sp9509_oxford_v3_proteins_Sp04g00805, Sp7498_pacbio_protein_g10996.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g003250_P001, wa8730_asm201904v2_ann1_proteins_Wa8730a020g001370_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_008639_1	Sp7498_pacbio_protein_g12239.t1, Sp9509_oxford_v3_proteins_Sp14g00310, Sp9509_oxford_v3_proteins_Sp02g00616, Sp7498_pacbio_protein_g17884.t1
