Orthogroup	Sp9509_oxford_v3.proteins	Sp7498_pacbio.protein
OG0000000	Sp12g00877	g14266.t1, g14265.t1
OG0000000	Sp08g00563	g1527.t1
OG0000000	Sp12g00604	g14003.t1
OG0000000	Sp16g00517, Sp13g00755, Sp02g00073	g17359.t1
OG0000000	Sp01g01214	g3800.t1
OG0000000	Sp06g00281	g7906.t1
OG0000000	Sp01g01216	g3797.t1
OG0000000	Sp04g00326	g11454.t1
OG0000000	Sp04g00538	g11269.t1
OG0000000	Sp16g00183	g13299.t1
OG0000000	Sp07g00535	g2645.t1
OG0000000	Sp10g00261	g5132.t1
OG0000000	Sp04g00805	g10996.t1
OG0000000	Sp14g00310	g12239.t1
OG0000000	Sp02g00616	g17884.t1
OG0000001	Sp06g00750	g8247.t1
OG0000001	Sp02g00617	g14010.t1
OG0000001	Sp01g01671	g6376.t1, g10106.t1, g3810.t1, g16325.t1, g3178.t1, g3690.t1, g3684.t1, g1852.t1, g5835.t1
OG0000002	Sp18g00026, Sp18g00023	g15117.t1
OG0000002	Sp18g00024, Sp13g00103	g15121.t1, g15120.t1
OG0000004	Sp03g01011, Sp04g01232	g14487.t1
OG0000004	Sp09g00743	g1165.t1
OG0000005	Sp10g00114, Sp10g00115	g4997.t1
OG0000005	Sp07g00302, Sp03g00226	g1585.t1
OG0000006	Sp09g00240	g9498.t1
OG0000006	Sp10g00337	g5199.t1
OG0000006	Sp05g00276	g6841.t1
OG0000006	Sp01g00289	g4654.t1
OG0000006	Sp03g00698	g16640.t1
OG0000006	Sp01g00256	g4676.t1
OG0000006	Sp09g00949	g10145.t1
OG0000006	Sp06g01181	g8606.t1
OG0000006	Sp01g01480	g3384.t1
OG0000007	Sp03g00438	g16920.t1
OG0000007	Sp18g00099	g15047.t1
OG0000007	Sp20g00319	g6124.t1
OG0000007	Sp09g00440	g9678.t1
OG0000007	Sp05g01002, Sp03g01028, Sp15g00247	g18970.t1, g18973.t1, g18976.t1, g18966.t1
OG0000008	Sp18g00577	g14571.t1
OG0000008	Sp13g00882	g111.t1
OG0000008	Sp06g00597	g7607.t1
OG0000008	Sp01g00715, Sp09g00901	g10188.t1
OG0000009	Sp09g01156	g829.t1
OG0000009	Sp03g00070, Sp03g00048, Sp03g00071, Sp09g01178	g17254.t1
OG0000010	Sp02g00097	g17523.t1, g17522.t1
OG0000010	Sp05g00075	g6983.t1
OG0000011	Sp06g00236, Sp01g01354, Sp06g00235	g7952.t1
OG0000011	Sp19g00328, Sp19g00327	g9027.t1, g19373.t1, g19374.t1
OG0000013	Sp03g00687	g16650.t1
OG0000013	Sp09g00953	g10142.t1
OG0000013	Sp11g00846	g15271.t1
OG0000013	Sp08g00439	g1645.t1
OG0000013	Sp20g00032	g6396.t1
OG0000013	Sp04g00198	g11584.t1
OG0000013	Sp11g00553	g15541.t1
OG0000013	Sp15g00460	g19185.t1
OG0000013	Sp19g00027	g19231.t1
OG0000013	Sp08g01271	g901.t1
OG0000014	Sp08g00765, Sp08g00773	g1329.t1, g1328.t1
OG0000015	Sp09g00105, Sp02g00223, Sp14g00154	g19303.t1
OG0000015	Sp19g00098, Sp08g01090	g19302.t1
OG0000016	Sp12g00466	g13896.t1
OG0000016	Sp12g00468	g13897.t1, g13901.t1
OG0000016	Sp12g00458	g13888.t1
OG0000016	Sp12g00459	g13889.t1
OG0000016	Sp12g00461	g13891.t1
OG0000016	Sp12g00463	g13893.t1
OG0000016	Sp12g00460	g13890.t1
OG0000016	Sp12g00462	g13892.t1
OG0000016	Sp10g00234	g5107.t1
OG0000017	Sp13g00972	g35.t1
OG0000017	Sp17g00350	g12797.t1
OG0000017	Sp14g00544, Sp02g00987	g12011.t1
OG0000017	Sp09g00478, Sp02g00988	g18422.t1
OG0000017	Sp18g00205	g14936.t1
OG0000017	Sp03g01205	g16174.t1
OG0000018	Sp14g00210	g12330.t1
OG0000018	Sp09g00179	g9438.t1
OG0000018	Sp06g00026	g8118.t1
OG0000018	Sp10g01082	g5879.t1
OG0000018	Sp01g01764	g3549.t1
OG0000018	Sp06g00336	g7858.t1
OG0000018	Sp10g00845	g5671.t1
OG0000018	Sp17g00117	g13010.t1
OG0000018	Sp11g00536	g15558.t1
OG0000019	Sp19g00245	g18521.t1, g2025.t1, g11926.t1, g15739.t1, g15737.t1, g15621.t1, g15717.t1, g15745.t1, g15743.t1, g15738.t1, g11930.t1, g15740.t1, g11924.t1, g11928.t1, g8902.t1
OG0000020	Sp18g00485	g14665.t1
OG0000020	Sp02g00688	g17948.t1
OG0000020	Sp02g00690	g17950.t1
OG0000021	Sp11g00864	g15252.t1
