Orthogroup	Sp7498_pacbio.protein	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func
OG0000000	g14266.t1, g14265.t1	wa7733.asm1v1.ann1.run1_002543_1
OG0000000	g1527.t1	wa7733.asm1v1.ann1.run1_001151_1
OG0000000	g14003.t1	wa7733.asm1v1.ann1.run1_011440_1
OG0000000	g17359.t1	wa7733.asm1v1.ann1.run1_007966_1
OG0000000	g3800.t1	wa7733.asm1v1.ann1.run1_002089_1
OG0000000	g7906.t1	wa7733.asm1v1.ann1.run1_006888_1
OG0000000	g7908.t1	wa7733.asm1v1.ann1.run1_006884_1
OG0000000	g11454.t1	wa7733.asm1v1.ann1.run1_000646_1
OG0000000	g11269.t1	wa7733.asm1v1.ann1.run1_012422_1
OG0000000	g13299.t1	wa7733.asm1v1.ann1.run1_003570_1
OG0000000	g11268.t1	wa7733.asm1v1.ann1.run1_001735_1
OG0000000	g5132.t1, g10996.t1	wa7733.asm1v1.ann1.run1_008639_1
OG0000001	g17885.t1	wa7733.asm1v1.ann1.run1_001057_1
OG0000001	g14010.t1	wa7733.asm1v1.ann1.run1_006372_1
OG0000001	g6376.t1	wa7733.asm1v1.ann1.run1_010455_1
OG0000001	g3810.t1, g16325.t1, g3178.t1	wa7733.asm1v1.ann1.run1_004620_1
OG0000001	g3690.t1, g3684.t1	wa7733.asm1v1.ann1.run1_015082_1, wa7733.asm1v1.ann1.run1_014654_1, wa7733.asm1v1.ann1.run1_014477_1, wa7733.asm1v1.ann1.run1_014653_1, wa7733.asm1v1.ann1.run1_014396_1, wa7733.asm1v1.ann1.run1_013688_1, wa7733.asm1v1.ann1.run1_008511_1, wa7733.asm1v1.ann1.run1_010314_1, wa7733.asm1v1.ann1.run1_014478_1, wa7733.asm1v1.ann1.run1_013684_1, wa7733.asm1v1.ann1.run1_008373_1, wa7733.asm1v1.ann1.run1_014479_1
OG0000001	g1852.t1, g5835.t1	wa7733.asm1v1.ann1.run1_006296_1
OG0000002	g15117.t1	wa7733.asm1v1.ann1.run1_000848_1
OG0000002	g15121.t1	wa7733.asm1v1.ann1.run1_000851_1
OG0000002	g15120.t1	wa7733.asm1v1.ann1.run1_007624_1
OG0000004	g14487.t1, g1165.t1	wa7733.asm1v1.ann1.run1_000038_1, wa7733.asm1v1.ann1.run1_003949_1, wa7733.asm1v1.ann1.run1_008349_1, wa7733.asm1v1.ann1.run1_009010_1, wa7733.asm1v1.ann1.run1_000935_1, wa7733.asm1v1.ann1.run1_004100_1, wa7733.asm1v1.ann1.run1_004101_1, wa7733.asm1v1.ann1.run1_015076_1, wa7733.asm1v1.ann1.run1_015071_1, wa7733.asm1v1.ann1.run1_015018_1, wa7733.asm1v1.ann1.run1_000936_1, wa7733.asm1v1.ann1.run1_008251_1, wa7733.asm1v1.ann1.run1_008253_1, wa7733.asm1v1.ann1.run1_008250_1, wa7733.asm1v1.ann1.run1_008258_1, wa7733.asm1v1.ann1.run1_000884_1, wa7733.asm1v1.ann1.run1_000885_1, wa7733.asm1v1.ann1.run1_000039_1, wa7733.asm1v1.ann1.run1_000886_1, wa7733.asm1v1.ann1.run1_000887_1, wa7733.asm1v1.ann1.run1_014942_1
OG0000005	g4997.t1	wa7733.asm1v1.ann1.run1_014791_1, wa7733.asm1v1.ann1.run1_015208_1, wa7733.asm1v1.ann1.run1_015044_1, wa7733.asm1v1.ann1.run1_014792_1, wa7733.asm1v1.ann1.run1_014793_1, wa7733.asm1v1.ann1.run1_015045_1, wa7733.asm1v1.ann1.run1_015031_1, wa7733.asm1v1.ann1.run1_007344_1
OG0000005	g1585.t1	wa7733.asm1v1.ann1.run1_006270_1
OG0000006	g9498.t1	wa7733.asm1v1.ann1.run1_001854_1
OG0000006	g17897.t1	wa7733.asm1v1.ann1.run1_001067_1
OG0000006	g5199.t1	wa7733.asm1v1.ann1.run1_007734_1
OG0000006	g9584.t1, g54.t1, g18612.t1	wa7733.asm1v1.ann1.run1_006908_1
OG0000006	g6841.t1	wa7733.asm1v1.ann1.run1_001644_1, wa7733.asm1v1.ann1.run1_007332_1
OG0000006	g16640.t1	wa7733.asm1v1.ann1.run1_004542_1
OG0000006	g4676.t1, g10145.t1	wa7733.asm1v1.ann1.run1_000943_1
OG0000006	g8606.t1, g3384.t1	wa7733.asm1v1.ann1.run1_002931_1
OG0000007	g16920.t1	wa7733.asm1v1.ann1.run1_004720_1
OG0000007	g15047.t1	wa7733.asm1v1.ann1.run1_000794_1
OG0000007	g6124.t1, g9678.t1	wa7733.asm1v1.ann1.run1_008065_1
OG0000007	g18988.t1	wa7733.asm1v1.ann1.run1_010955_1
OG0000007	g18964.t1	wa7733.asm1v1.ann1.run1_014021_1
OG0000007	g18970.t1, g18973.t1, g18976.t1, g18966.t1	wa7733.asm1v1.ann1.run1_008206_1
OG0000008	g14571.t1	wa7733.asm1v1.ann1.run1_013174_1
OG0000008	g111.t1	wa7733.asm1v1.ann1.run1_008139_1
OG0000008	g9023.t1	wa7733.asm1v1.ann1.run1_009382_1, wa7733.asm1v1.ann1.run1_004297_1, wa7733.asm1v1.ann1.run1_000318_1
OG0000008	g7607.t1	wa7733.asm1v1.ann1.run1_011231_1
OG0000008	g10188.t1	wa7733.asm1v1.ann1.run1_002622_1
OG0000008	g8238.t1	wa7733.asm1v1.ann1.run1_007660_1
