Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp7498_pacbio.protein
OG0000000	Wa8730a015g000580_P001	g14266.t1, g14265.t1
OG0000000	Wa8730a005g004760_P001	g1527.t1
OG0000000	Wa8730a010g005410_P001	g14003.t1
OG0000000	Wa8730a004g003940_P001	g17359.t1
OG0000000	Wa8730a018g001770_P001	g3800.t1
OG0000000	Wa8730a019g001810_P001	g7906.t1
OG0000000	Wa8730a019g001830_P001	g7908.t1
OG0000000	Wa8730a007g006910_P001	g11454.t1
OG0000000	Wa8730a007g005240_P001	g11269.t1
OG0000000	Wa8730a006g004300_P001	g13299.t1
OG0000000	Wa8730a012g001710_P001	g2645.t1
OG0000000	Wa8730a007g003250_P001, Wa8730a020g001370_P001	g5132.t1, g10996.t1
OG0000001	Wa8730a002g005920_P001	g17885.t1
OG0000001	Wa8730a017g003690_P001	g6376.t1
OG0000001	Wa8730a003g006640_P001	g3810.t1, g16325.t1, g3178.t1
OG0000001	Wa8730a009g001100_P001, Wa8730a009g001180_P001, Wa8730a009g001120_P001, Wa8730a009g001110_P001, Wa8730a009g001130_P001, Wa8730a009g001170_P001, Wa8730a009g001140_P001, Wa8730a009g003870_P001, Wa8730a013g005840_P001, Wa8730a009g001270_P001, Wa8730a009g001310_P001, Wa8730a009g001300_P001, Wa8730a009g001320_P001, Wa8730a009g001330_P001, Wa8730a009g001340_P001, Wa8730a009g001590_P001, Wa8730a009g001390_P001, Wa8730a009g001160_P001, Wa8730a003g000180_P001, Wa8730a009g001150_P001, Wa8730a009g001090_P001	g3690.t1, g3684.t1
OG0000001	Wa8730a009g000460_P001	g1852.t1, g5835.t1
OG0000002	Wa8730a016g004780_P001	g15117.t1
OG0000002	Wa8730a016g004810_P001	g15121.t1
OG0000002	Wa8730a003g007260_P001	g15120.t1
OG0000004	Wa8730a016g000380_P001, Wa8730a006g004710_P001, Wa8730a014g001670_P001, Wa8730a014g001630_P001, Wa8730a014g001620_P001, Wa8730a009g003160_P001, Wa8730a009g003150_P001, Wa8730a009g003140_P001, Wa8730a009g003220_P001, Wa8730a014g002180_P001, Wa8730a014g002170_P001, Wa8730a012g005020_P001, Wa8730a014g002160_P001, Wa8730a011g004170_P001, Wa8730a011g004180_P001	g14487.t1, g1165.t1
OG0000005	Wa8730a00Ug000080_P001	g4997.t1
OG0000005	Wa8730a005g005430_P001	g1585.t1
OG0000006	Wa8730a014g006020_P001	g9498.t1
OG0000006	Wa8730a020g000300_P001	g5199.t1
OG0000006	Wa8730a002g000770_P001	g9584.t1, g54.t1, g18612.t1
OG0000006	Wa8730a001g004420_P001, Wa8730a010g001680_P001	g6841.t1
OG0000006	Wa8730a003g004290_P001	g16640.t1
OG0000006	Wa8730a001g007000_P001	g8606.t1, g3384.t1
OG0000007	Wa8730a003g002300_P001	g16920.t1
OG0000007	Wa8730a016g004250_P001	g15047.t1
OG0000007	Wa8730a014g004920_P001	g6124.t1, g9678.t1
OG0000007	Wa8730a001g009030_P001	g18988.t1
OG0000007	Wa8730a004g007210_P001, Wa8730a001g008820_P001	g18964.t1
OG0000008	Wa8730a016g001020_P001	g14571.t1
OG0000008	Wa8730a011g001960_P001	g9023.t1
OG0000008	Wa8730a019g003480_P001	g7607.t1
OG0000008	Wa8730a002g010410_P001	g8238.t1
OG0000009	Wa8730a014g000140_P001	g829.t1
OG0000010	Wa8730a002g009930_P001	g17523.t1, g17522.t1
OG0000010	Wa8730a008g000350_P001, Wa8730a014g005820_P001, Wa8730a003g005260_P001, Wa8730a003g005060_P001, Wa8730a010g000070_P001, Wa8730a005g000510_P001, Wa8730a016g003000_P001, Wa8730a003g006990_P001	g18703.t1
OG0000010	Wa8730a004g003200_P001, Wa8730a010g000520_P001	g6983.t1
OG0000011	Wa8730a005g002480_P001, Wa8730a005g002500_P001, Wa8730a005g002490_P001, Wa8730a005g002420_P001, Wa8730a005g001800_P001, Wa8730a005g001780_P001, Wa8730a005g001790_P001, Wa8730a005g001350_P001, Wa8730a004g006720_P001, Wa8730a004g000730_P001	g7952.t1, g9027.t1, g19373.t1, g19374.t1
OG0000012	Wa8730a016g001530_P001, Wa8730a003g003270_P001, Wa8730a003g003290_P001, Wa8730a003g003300_P001, Wa8730a003g003280_P001, Wa8730a016g001640_P001, Wa8730a016g001560_P001, Wa8730a016g001540_P001, Wa8730a016g001470_P001, Wa8730a007g009040_P001, Wa8730a016g001490_P001, Wa8730a016g001460_P001, Wa8730a016g001480_P001, Wa8730a016g001630_P001	g14655.t1, g14654.t1
OG0000013	Wa8730a003g004220_P001	g16650.t1
OG0000013	Wa8730a014g001550_P001	g10142.t1
OG0000013	Wa8730a007g007700_P001	g11584.t1
OG0000013	Wa8730a001g010290_P001	g15541.t1, g19185.t1
OG0000013	Wa8730a005g000290_P001	g19231.t1, g901.t1
OG0000014	Wa8730a005g003480_P001	g1329.t1, g1328.t1
